LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
fight_in,verb,fight,fights,fought,fought,in,IntransitivePPFrame,range,domain,1,dbp:date,dbo:MilitaryConflict,xsd:date
produced_in_1,verb,produce,produces,produced,produced,in,IntransitivePPFrame,domain,range,1,dbo:wineProduced,dbo:Company,dbo:Location
stand_for_2,verb,stand,stands,stood,stood,for,IntransitivePPFrame,domain,range,1,dbo:abbreviation,owl:Thing,xsd:string
belong_to_1,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,1,dbo:party,dbo:Person,dbo:PoliticalParty
Have_seat_1,verb,have,has,had,had,X,IntransitivePPFrame,range,domain,1,dbo:seatingCapacity,dbo:Stadium,xsd:nonNegativeInteger
starr_in_3,verb,star,starring,starred,starred,in,IntransitivePPFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Actor
draft_in,verb,draft,drafts,drafted,drafted,in,IntransitivePPFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear
build_in_1,verb,build,builds,built,built,in,IntransitivePPFrame,range,domain,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear
build_in_2,verb,build,builds,built,built,in,IntransitivePPFrame,range,domain,1,dbp:beginningDate,dbo:ArchitecturalStructure,xsd:gYear
inaugurate_in_1,verb,inaugurate,inaugurates,inaugurated,inaugurated,in,IntransitivePPFrame,range,domain,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:gYear
founded_on_1,verb,found,founds,founded,founded,on,IntransitivePPFrame,range,domain,1,dbo:foundingDate,dbo:Organisation,xsd:date
founded_on_3,verb,found,founds,founded,founded,on,IntransitivePPFrame,range,domain,4,dbo:formationDate,dbo:PoliticalParty,xsd:date
released_on_1,verb,release,releases,released,released,at,IntransitivePPFrame,range,domain,1,dbo:releaseDate,dbo:TelevisionShow,xsd:date
released_on_4,verb,release,releases,released,released,on,IntransitivePPFrame,domain,range,1,dbo:computingPlatform,dbo:Software,owl:Thing
published_on_1,verb,publish,publishes,published,published,on,IntransitivePPFrame,range,domain,1,dbp:published,dbo:Song,xsd:date
published_on_3,verb,publish,publishes,published,published,on,IntransitivePPFrame,range,domain,1,dbo:publicationDate,dbo:Book,xsd:date
destroy_on_1,verb,destroy,destroys,destroyed,destroyed,on,IntransitivePPFrame,range,domain,1,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date
rebuild_on_1,verb,rebuild,rebuilds,rebuilt,rebuilt,on,IntransitivePPFrame,range,domain,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date
reopen_on_1,verb,reopen,reopens,reopened,reopened,on,IntransitivePPFrame,range,domain,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date
discontinue_on_1,verb,discontinue,discontinues,discontinued,discontinued,on,IntransitivePPFrame,range,domain,1,dbo:discontinued,dbo:Beverage,xsd:date
introduced_on_1,verb,introduce,introduces,introduced,introduced,on,IntransitivePPFrame,range,domain,1,dbo:introduced,dbo:Beverage,xsd:date
open_on_1,verb,open,opens,opened,opened,on,IntransitivePPFrame,range,domain,1,dbo:openingDate,dbo:Bridge,xsd:date
open_in_1,verb,open,opens,opened,opened,in,IntransitivePPFrame,range,domain,1,dbo:openingYear,dbo:Bridge,xsd:gYear
produced_on_1,verb,produce,produced,produced,produced,on,IntransitivePPFrame,range,domain,1,dbo:productionDate,dbo:Film,xsd:date
produced_on_2,verb,produce,produced,produced,produced,on,IntransitivePPFrame,range,domain,2,dbo:productionDate,dbo:Album,xsd:date
establish_in_1,verb,establish,establishes,established,established,in,IntransitivePPFrame,range,domain,1,dbo:firstPublicationYear,dbo:PeriodicalLiterature,xsd:gYear
form_in_1,verb,form,forms,formed,formed,in,IntransitivePPFrame,range,domain,1,dbo:activeYearsStartYear,dbo:Band,xsd:date
compose_for_1,verb,compose,composes,composed,composed,for,IntransitivePPFrame,domain,range,1,dbo:musicComposer,dbo:Work,dbo:Person
