LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Argentinien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Bevölkerungsdichte,noun,feminine,Bevölkerungsdichte,Bevölkerungsdichten,Bevölkerungsdichte,Bevölkerungsdichte,Bevölkerungsdichte,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Weste,noun,feminine,Weste,Westen,Weste,Weste,Weste,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Italien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Süden,noun,masculine,Süden,,Süden,Süden,Südens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Osten,noun,masculine,Osten,,Osten,Osten,Ostens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Rechtsnachfolgerin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Meter,noun,neuter,Meter,Meter,Meter,Meter,Meters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Gemeinde,noun,feminine,Gemeinde,Gemeinden,Gemeinde,Gemeinde,Gemeinde,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Departamento,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Weste,noun,feminine,Weste,Westen,Weste,Weste,Weste,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Loire;,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Verwaltungseinheiten,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Verwaltungssitz,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Argentinien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Bolivien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Norden,noun,masculine,Norden,,Norden,Norden,Nordens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Municipio,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
County-Verwaltung,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Sitz,noun,masculine,Sitz,Sitze,Sitz,Sitze,Sitzes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Osten,noun,masculine,Osten,,Osten,Osten,Ostens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Anden-Staat,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Süden,noun,masculine,Süden,,Süden,Süden,Südens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Landkreis,noun,masculine,Landkreis,Landkreise,Landkreis,Landkreise,Landkreises,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Stadt,noun,feminine,Stadt,Städte,Stadt,Stadt,Stadt,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Brixen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Vertreterin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Georgia,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
stehen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Norden,noun,masculine,Norden,,Norden,Norden,Nordens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Arrondissements,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Metropolregion,noun,feminine,Metropolregion,Metropolregionen,Metropolregion,Metropolregion,Metropolregion,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Nähe,noun,feminine,Nähe,,Nähe,Nähe,Nähe,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
stehen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Teil,noun,neuter,Teil,Teile,Teil,Teile,Teils,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Januar,noun,masculine,Januar,Januare,Januar,Januar,Januar,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Eisacktal,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Virginia,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Vinschgau,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
da,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Unterland,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Vertreterin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Anden-Staat,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Carolina,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Loire;,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
North,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Pays,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
