LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,QALD
Cuban_48,adjective,Cuban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Cuba,dbo:Film,dbo:Film,other
Czech_49,adjective,Czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Czech_Republic,dbo:Film,dbo:Film,other
Czech_50,adjective,Czech,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Czech_Republic,dbo:Film,dbo:Film,other
Danish_51,adjective,Danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Denmark,dbo:Film,dbo:Film,other
Danish_52,adjective,Danish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Denmark,dbo:Film,dbo:Film,other
Dominican_53,adjective,Dominican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Dominican_Republic,dbo:Film,dbo:Film,other
Dominican_54,adjective,Dominican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Dominican_Republic,dbo:Film,dbo:Film,other
Ecuadorian_55,adjective,Ecuadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ecuador,dbo:Film,dbo:Film,other
Ecuadorian_56,adjective,Ecuadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ecuador,dbo:Film,dbo:Film,other
Egyptian_57,adjective,Egyptian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Egypt,dbo:Film,dbo:Film,other
Egyptian_58,adjective,Egyptian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Egypt,dbo:Film,dbo:Film,other
Salvadorian_59,adjective,Salvadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:El_Salvador,dbo:Film,dbo:Film,other
Salvadorian_60,adjective,Salvadorian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:El_Salvador,dbo:Film,dbo:Film,other
English_61,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:England,dbo:Film,dbo:Film,other
English_62,adjective,English,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:England,dbo:Film,dbo:Film,other
Estonian_63,adjective,Estonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Estonia,dbo:Film,dbo:Film,other
Estonian_64,adjective,Estonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Estonia,dbo:Film,dbo:Film,other
Ethiopian_65,adjective,Ethiopian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ethiopia,dbo:Film,dbo:Film,other
Ethiopian_66,adjective,Ethiopian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ethiopia,dbo:Film,dbo:Film,other
Fijian_67,adjective,Fijian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Fiji,dbo:Film,dbo:Film,other
Fijian_68,adjective,Fijian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Fiji,dbo:Film,dbo:Film,other
Finnish_69,adjective,Finnish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Finland,dbo:Film,dbo:Film,other
Finnish_70,adjective,Finnish,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Finland,dbo:Film,dbo:Film,other
French_71,adjective,French,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:France,dbo:Film,dbo:Film,other
French_72,adjective,French,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:France,dbo:Film,dbo:Film,other
German_73,adjective,German,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Germany,dbo:Film,dbo:Film,other
German_74,adjective,German,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Germany,dbo:Film,dbo:Film,other
Ghanaian_75,adjective,Ghanaian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Ghana,dbo:Film,dbo:Film,other
Ghanaian_76,adjective,Ghanaian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Ghana,dbo:Film,dbo:Film,other
Greek_77,adjective,Greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Greece,dbo:Film,dbo:Film,other
Greek_78,adjective,Greek,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Greece,dbo:Film,dbo:Film,other
Guatemalan_79,adjective,Guatemalan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Guatemala,dbo:Film,dbo:Film,other
Guatemalan_80,adjective,Guatemalan,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Guatemala,dbo:Film,dbo:Film,other
Haitian_81,adjective,Haitian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Haiti,dbo:Film,dbo:Film,other
Haitian_82,adjective,Haitian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Haiti,dbo:Film,dbo:Film,other
Honduran_83,adjective,Honduran,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Honduras,dbo:Film,dbo:Film,other
Honduran_84,adjective,Honduran,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Honduras,dbo:Film,dbo:Film,other
Hungarian_85,adjective,Hungarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Hungary,dbo:Film,dbo:Film,other
Hungarian_86,adjective,Hungarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Hungary,dbo:Film,dbo:Film,other
Icelandic_87,adjective,Icelandic,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Iceland,dbo:Film,dbo:Film,other
Icelandic_88,adjective,Icelandic,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Iceland,dbo:Film,dbo:Film,other
Indian_89,adjective,Indian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:India,dbo:Film,dbo:Film,other
Indian_90,adjective,Indian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:India,dbo:Film,dbo:Film,other
Indonesian_91,adjective,Indonesian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Indonesia,dbo:Film,dbo:Film,other
